"trip_duration","distance_traveled","num_of_passengers","fare","tip","miscellaneous_fees","total_fare","surge_applied"
335,3.77,1,63.75,0,6,69.75,0
581,1.77,1,56.25,8,5.5,69.75,0
666,3.35,1,71.25,21,34.2,126.45,1
660,2.56,1,67.5,38,13,118.5,0
471,2.95,1,60,0,6,66,0
1189,4.02,2,105,42,33.75,180.75,1
2129,7.13,1,176.25,22,27.125,225.375,1
3160,8.45,2,240,0,6,246,0
991,4.46,3,97.5,26,34.45,157.95,1
339,1.82,1,45,0,34.125,79.125,1
204,0.63,1,30,0,13.5,43.5,0
338,2.19,3,45,0,6,51,0
507,2.74,1,60,0,26.625,86.625,1
228,0.85,1,33.75,6,6,45.75,0
217,2.49,1,48.75,18,9.30000000000001,76.05,0
1810,4.12,1,142.5,0,6,148.5,0
2215,4.78,2,176.25,0,26.625,202.875,1
93,0.97,1,26.25,9,6.375,41.625,0
857,2.57,1,78.75,26,26.875,131.625,1
267,1.63,1,75,15,2.7,92.7,0
153,0.66,1,30,0,9.75,39.75,0
1556,7.4,1,142.5,30,5.625,178.125,0
343,0.74,1,41.25,0,6,47.25,0
326,1.72,1,45,22,6.5,73.5,0
344,1.14,1,41.25,0,6,47.25,0
574,2.45,1,63.75,14,5.95,83.7,0
514,2.61,1,60,0,6,66,0
1098,3.09,5,93.75,0,13.5,107.25,0
1242,7.18,1,131.25,0,6,137.25,0
946,1.77,1,82.5,0,6,88.5,0
1428,15.63,1,225,0,9.75,234.75,0
279,1.11,1,37.5,38,9.25,84.75,0
813,7.82,1,123.75,0,9.75,133.5,0
866,3.15,1,82.5,22,6.125,110.625,0
763,3.04,1,75,0,13.5,88.5,0
1212,5.02,5,112.5,29,34.45,175.95,1
925,5.99,2,108.75,23,5.94999999999999,137.7,0
688,4.18,1,78.75,28,34.325,141.075,1
477,2.14,1,52.5,18,5.55000000000001,76.05,0
725,2.49,1,67.5,0,6,73.5,0
789,6.15,2,105,0,9.75,114.75,0
529,2.09,1,56.25,17,30.7,103.95,1
618,2.82,1,67.5,0,6,73.5,0
708,2.67,1,71.25,21,34.2,126.45,1
669,4.39,1,78.75,8,13,99.75,0
799,4.3,1,90,16,9.34999999999999,115.35,0
1418,6.32,1,127.5,0,6,133.5,0
290,1.88,1,45,0,30.375,75.375,1
436,2,5,48.75,0,9.75,58.5,0
292,1.05,1,37.5,38,5.5,81,0
567,3.7,1,67.5,15,10.2,92.7,0
501,3.38,1,60,15,13.5,88.5,0
837,9.29,1,135,15,30.375,180.375,1
262,0.98,1,67.5,0,2.25,69.75,0
1288,4.02,1,112.5,24,5.70000000000002,142.2,0
576,3.23,1,67.5,14,26.725,108.225,1
285,1.17,1,41.25,9,6.45,56.7,0
869,3.86,1,86.25,8,13,107.25,0
771,4.6,1,93.75,21,13.95,128.7,0
286,2.22,1,45,16,14,75,0
550,2.29,1,60,0,6,66,0
199,0.48,1,30,0,26.625,56.625,1
2,0.02,4,375,0,2.25,377.25,0
347,1.66,1,45,0,13.5,58.5,0
1488,4.88,1,127.5,27,10.2,164.7,0
406,2.8,3,56.25,15,30.375,101.625,1
1378,7.45,1,138.75,0,6,144.75,0
1075,4.94,1,105,33,26.55,164.55,1
1393,7.02,1,138.75,0,6,144.75,0
408,1.95,1,48.75,8,5.50000000000001,62.25,0
539,2.24,1,56.25,0,13.5,69.75,0
786,2.14,1,71.25,0,26.625,97.875,1
196,1.3,1,33.75,0,13.5,47.25,0
1709,8.98,1,172.5,0,26.625,199.125,1
1167,6.47,1,90.375,9,22.725,122.1,1
509,2.27,1,56.25,12,27.075,95.325,1
475,3.75,1,67.5,20,34.45,121.95,1
633,5.55,5,97.5,21,5.7,124.2,0
1172,5.66,1,116.25,8,26.125,150.375,1
1455,9.48,1,168.75,49,26.45,244.2,1
969,6.65,1,112.5,0,30.375,142.875,1
496,1.82,1,52.5,38,5.5,96,0
1074,3.52,1,93.75,0,6,99.75,0
2509,8.53,1,206.25,23,26.95,256.2,1
1652,6.95,1,146.25,0,6,152.25,0
295,1.46,5,41.25,13,9.5,63.75,0
1007,5.57,3,105,13,26.825,144.825,1
1446,6.36,1,135,32,24.7,191.7,1
1274,5.23,1,105,26,26.95,157.95,1
766,4.23,1,82.5,0,9.75,92.25,0
495,1.24,1,48.75,11,5.95,65.7,0
962,6.78,1,116.25,29,26.2,171.45,1
358,1.13,1,45,0,6,51,0
59,0.61,1,22.5,6,5.7,34.2,0
278,1.09,1,37.5,9,5.7,52.2,0
541,2.77,1,60,0,6,66,0
2342,15.34,1,262.5,15,30.375,307.875,1
245,0.79,1,33.75,12,5.925,51.675,0
695,2.25,1,63.75,0,6,69.75,0
722,2.57,1,67.5,16,13.7,97.2,0
597,2.99,1,67.5,20,13.75,101.25,0
342,1.66,1,45,0,9.75,54.75,0
511,2.11,1,56.25,0,6.00000000000001,62.25,0
685,3.32,6,75,8,5.5,88.5,0
1675,13.13,2,210,0,34.125,244.125,1
2220,9.3,1,187.5,44,34.45,265.95,1
1165,7.18,2,127.5,38,5.5,171,0
859,3.28,1,82.5,18,5.7,106.2,0
928,4.02,1,93.75,24,26.625,144.375,1
1004,3.28,1,86.25,28,26.825,141.075,1
323,1.54,1,45,10,6.2,61.2,0
692,3.03,1,71.25,19,6.34999999999999,96.6,0
863,4.35,1,90,23,26.875,139.875,1
616,2.57,2,60,15,9.75,84.75,0
1421,6.92,1,142.5,23,9.55000000000001,175.05,0
1511,8.59,2,153.75,37,30.2,220.95,1
589,2.83,1,63.75,0,34.125,97.875,1
4,0.02,1,18.75,0,9.75,28.5,0
210,0.98,1,33.75,18,26.775,78.525,1
716,6.79,1,108.75,23,5.94999999999999,137.7,0
952,4.36,1,90,19,33.725,142.725,1
348,2,1,48.75,22,6.5,77.25,0
1023,4.54,1,101.25,11,13.75,126,0
667,1.61,1,60,0,6,66,0
380,2.24,1,52.5,13,13.7,79.2,0
870,3.62,1,82.5,24,13.5,120,0
578,2.45,1,60,14,34.225,108.225,1
778,3.04,1,75,0,13.5,88.5,0
292,1.45,1,41.25,8,13.75,63,0
843,4.01,1,90,0,13.5,103.5,0
573,2.64,1,60,13,6.2,79.2,0
858,4.33,1,90,0,6,96,0
588,1.82,1,56.25,8,13,77.25,0
417,2.2,1,48.75,15,9.375,73.125,0
812,4.15,1,78.75,0,6,84.75,0
3480,19.04,1,303.75,0,55.125,358.875,0
681,3.72,1,75,11,26.5,112.5,1
335,1.64,1,45,11,9.7,65.7,0
792,3.41,1,78.75,26,26.95,131.7,1
362,1.71,1,45,0,6,51,0
801,3.62,5,78.75,0,13.5,92.25,0
1624,12.92,1,202.5,57,26.925,286.425,1
887,5.31,1,97.5,21,10.125,128.625,0
1566,11.47,1,183.75,42,26.7,252.45,1
1189,7.39,1,127.5,32,34.45,193.95,1
575,1.82,5,60,24,33.675,117.675,1
879,3.2,1,82.5,8,5.5,96,0
724,3.65,1,75,0,26.625,101.625,1
2195,5.57,1,176.25,0,6,182.25,0
953,9.14,1,138.75,0,6,144.75,0
248,1.51,1,37.5,12,9.6,59.1,0
876,3.86,1,90,0,6,96,0
501,2.32,1,60,0,6,66,0
905,3.77,1,90,8,5.5,103.5,0
575,1.96,1,56.25,0,6.00000000000001,62.25,0
350,1.4,1,37.5,9,5.7,52.2,0
503,2.4,1,56.25,15,6,77.25,0
255,1.16,2,37.5,0,6,43.5,0
886,4.14,3,90,0,6,96,0
991,6.34,1,105,22,6.20000000000002,133.2,0
406,1.61,1,48.75,11,5.95,65.7,0
2601,6.45,1,191.25,0,9.75,201,0
373,1.35,1,45,0,9.75,54.75,0
465,1.59,1,48.75,0,9.75,58.5,0
3361,8.79,1,255,0,6,261,0
358,1.22,1,41.25,0,13.5,54.75,0
2462,9.5,1,206.25,0,6,212.25,0
785,3.06,2,75,15,26.85,116.85,1
580,3.01,1,67.5,19,26.45,112.95,1
240,1.03,1,33.75,0,6,39.75,0
227,1.35,1,37.5,0,6,43.5,0
382,1.64,1,45,14,9.39999999999999,68.4,0
715,4.09,1,82.5,0,6,88.5,0
975,3.88,1,93.75,0,13.5,107.25,0
139,0.48,1,26.25,0,13.5,39.75,0
259,1.19,1,37.5,0,6,43.5,0
1785,8.92,1,180,62,26.575,268.575,1
765,3.23,1,78.75,0,26.625,105.375,1
240,1.14,2,37.5,0,6,43.5,0
1123,7.55,1,127.5,27,10.2,164.7,0
1080,5.58,1,108.75,0,6,114.75,0
1149,4.15,1,112.5,0,6,118.5,0
736,4.02,1,78.75,0,26.625,105.375,1
740,6.02,1,120,0,2.25,122.25,0
580,7.42,1,105,23,9.69999999999999,137.7,0
700,3.38,1,75,20,26.875,121.875,1
611,2.61,1,63.75,0,6,69.75,0
231,1.09,2,33.75,0,13.5,47.25,0
352,1.82,1,48.75,0,6,54.75,0
509,2.41,1,60,13,6.2,79.2,0
683,3.22,1,71.25,29,26.875,127.125,1
1680,10.83,1,168.75,11,6.25,186,0
853,8.11,1,123.75,0,9.75,133.5,0
486,1136.5,1,61.95,0,2.25,64.2,0
7699,9.38,2,528.75,0,9.75,538.5,0
1464,10.72,1,176.25,0,26.625,202.875,1
902,5.68,1,101.25,0,26.625,127.875,1
457,1.56,1,52.5,0,6,58.5,0
274,0.9,1,37.5,10,13.7,61.2,0
840,1.93,1,75,0,6,81,0
448,2.64,1,60,13,6.2,79.2,0
1484,12.07,1,187.5,58,5.75,251.25,0
728,2.72,1,67.5,8,5.5,81,0
1080,8.69,1,142.5,38,26.125,206.625,1
14098,0.06,1,150,0,2.25,152.25,0
396,1.48,1,45,0,9.75,54.75,0
942,4.07,1,90,0,13.5,103.5,0
353,1.59,1,41.25,0,6,47.25,0
1123,20.76,1,266.25,0,58.875,325.125,0
166,0.69,1,30,11,5.8,46.8,0
1041,5.92,1,116.25,26,13.45,155.7,0
262,0.92,1,37.5,15,6,58.5,0
912,3.49,1,86.25,0,13.5,99.75,0
2423,10.72,1,210,28,34.625,272.625,1
865,4.72,1,93.75,0,6,99.75,0
248,1.14,6,37.5,0,6,43.5,0
697,3.86,1,75,25,10.175,110.175,0
1412,2.66,3,108.75,13,5.75,127.5,0
2970,8.35,1,228.75,15,6,249.75,0
1394,13.84,1,210,53,55,318,0
1671,7.24,1,150,46,6.5,202.5,0
512,1.21,1,52.5,12,5.69999999999999,70.2,0
464,2.27,1,56.25,0,6.00000000000001,62.25,0
204,1.24,1,33.75,0,13.5,47.25,0
370,1,1,41.25,0,26.625,67.875,1
602,3.06,1,63.75,18,26.625,108.375,1
844,2.43,1,78.75,18,13.95,110.7,0
112,1.11,1,30,9,13.2,52.2,0
512,2.14,2,56.25,0,13.5,69.75,0
147,0.66,1,26.25,0,6,32.25,0
27,0.06,1,18.75,0,13.5,32.25,0
536,1.93,2,56.25,14,13.375,83.625,0
230,0.66,1,33.75,8,5.95,47.7,0
274,1.46,1,41.25,0,6,47.25,0
1723,17.03,1,243.75,38,26.125,307.875,1
506,2.74,2,60,11,30.625,101.625,1
2211,31.54,1,412.5,75,51.375,538.875,0
1530,16.21,1,228.75,51,26.7,306.45,1
741,2.41,1,71.25,15,6.375,92.625,0
395,1.59,1,45,0,13.5,58.5,0
684,1.71,1,60,0,6,66,0
1600,8.96,1,157.5,0,9.75,167.25,0
754,3.38,1,78.75,0,9.75,88.5,0
441,2.11,1,52.5,12,5.69999999999999,70.2,0
992,8.21,1,131.25,27,6.375,164.625,0
360,1.8,1,48.75,8,26.125,82.875,1
714,2.74,1,67.5,23,26.875,117.375,1
935,6.08,1,101.25,19,13.25,133.5,0
415,1.38,1,45,0,6,51,0
1768,7.72,1,157.5,0,30.375,187.875,1
842,9.62,1,142.5,22,27.125,191.625,1
1165,4.55,1,112.5,35,26.425,173.925,1
1574,11.96,1,187.5,38,26.125,251.625,1
647,2.16,5,63.75,0,6,69.75,0
2297,7.05,1,168.75,0,6,174.75,0
1679,7.98,1,153.75,38,33.7,225.45,1
2629,6.02,1,195,26,6.25,227.25,0
285,1.72,1,45,0,6,51,0
1108,4.83,1,101.25,21,6.375,128.625,0
1472,12.34,1,187.5,39,5.69999999999999,232.2,0
1174,4.86,1,108.75,0,9.75,118.5,0
973,3.3,1,86.25,0,13.5,99.75,0
1202,4.99,1,112.5,0,26.625,139.125,1
2239,15.06,1,247.5,19,33.875,300.375,1
453,4.31,1,75,16,20.825,111.825,0
712,3.01,1,75,8,26.725,109.725,1
2215,23.88,1,322.5,82,6.125,410.625,0
1331,3.78,1,108.75,24,13.95,146.7,0
464,3.77,1,67.5,38,13,118.5,0
1090,4.44,1,101.25,6,27,134.25,1
501,2.59,1,60,17,26.95,103.95,1
697,3.28,1,78.75,0,9.75,88.5,0
1296,4.67,1,108.75,0,13.5,122.25,0
2328,13.29,1,217.5,0,6,223.5,0
166,1.3,1,33.75,0,9.75,43.5,0
2030,3.6,1,153.75,0,6,159.75,0
561,4.36,1,75,21,30.45,126.45,1
506,1.79,1,56.25,17,26.2,99.45,1
717,2.54,2,71.25,13,5.75,90,0
505,2.75,1,63.75,15,6,84.75,0
985,4.88,1,105,34,10.175,149.175,0
1491,2.86,1,116.25,43,26.525,185.775,1
785,3.03,1,78.75,0,6,84.75,0
1003,2.67,1,82.5,19,13.7,115.2,0
672,3.49,1,75,0,13.5,88.5,0
291,2.09,1,45,12,13.125,70.125,0
1027,4.99,1,105,0,26.625,131.625,1
326,0.97,6,41.25,0,26.625,67.875,1
315,1.75,1,45,16,10.175,71.175,0
580,2.62,1,63.75,15,6,84.75,0
2449,10.94,2,202.5,64,55.25,321.75,0
1106,9.33,2,138.75,33,26.625,198.375,1
795,4.55,1,90,29,26.8,145.8,1
808,4.51,1,86.25,18,6.45,110.7,0
364,2.17,1,48.75,12,13.95,74.7,0
502,3.06,1,63.75,23,13.375,100.125,0
285,0.92,1,37.5,15,13.8,66.3,0
614,4.39,1,78.75,0,6,84.75,0
462,2.57,1,56.25,0,6.00000000000001,62.25,0
426,1.56,2,48.75,11,5.95,65.7,0
565,2.25,1,60,13,6.125,79.125,0
1399,6.63,1,138.75,0,26.625,165.375,1
626,2.49,1,63.75,18,26.7,108.45,1
3,0.03,1,187.5,0,2.25,189.75,0
382,1.8,1,48.75,9,9.52500000000001,67.275,0
522,1.21,1,41.25,0,9.75,51,0
1878,7.84,1,168.75,0,26.625,195.375,1
692,10.94,1,150,41,55.15,246.15,0
384,3.88,1,63.75,15,9.45,88.2,0
716,2.45,1,67.5,0,13.5,81,0
200,1.13,1,33.75,0,13.5,47.25,0
1086,3.77,1,97.5,25,26.45,148.95,1
1541,8.71,1,150,8,26.125,184.125,1
84405,6.97,1,150,31,6.19999999999999,187.2,0
443,1.69,1,48.75,12,13.95,74.7,0
824,3.6,1,82.5,22,26.45,130.95,1
538,4.81,1,82.5,18,10.2,110.7,0
1715,9.08,1,135,0,9.75,144.75,0
450,1.29,1,48.75,16,6.425,71.175,0
704,5.04,1,90,0,13.5,103.5,0
892,0.97,3,75,0,6,81,0
474,1.61,2,52.5,0,6,58.5,0
22,0.31,1,450,0,2.25,452.25,0
154,0.51,1,26.25,0,6,32.25,0
737,3.06,1,150,0,2.25,152.25,0
677,3.25,1,75,22,13.625,110.625,0
801,3.83,1,82.5,8,33.625,124.125,1
1316,9.21,1,142.5,42,26.925,211.425,1
317,1.77,1,41.25,10,9.95,61.2,0
98,0.92,1,26.25,0,6,32.25,0
3328,28.32,1,397.5,75,6,478.5,0
511,1.92,1,56.25,12,6.45,74.7,0
932,11.25,1,157.5,43,54.65,255.15,0
326,1.96,1,45,0,6,51,0
671,2.9,1,71.25,17,13.45,101.7,0
418,0.98,1,45,15,6.3,66.3,0
1982,17.19,1,337.5,68,2.19999999999999,407.7,0
404,1.77,1,45,0,6,51,0
955,3.6,1,90,0,6,96,0
4595,13,1,360,0,6,366,0
532,2.25,1,56.25,12,6.375,74.625,0
422,2.41,1,56.25,0,6.00000000000001,62.25,0
455,1.67,3,52.5,0,6,58.5,0
741,3.98,1,82.5,22,6.125,110.625,0
1971,9.64,1,180,41,26.95,247.95,1
1097,8.95,1,142.5,31,13.7,187.2,0
755,5.81,1,97.5,21,5.7,124.2,0
1128,7.11,1,131.25,0,13.5,144.75,0
315,1.42,4,41.25,8,13,62.25,0
1085,5.01,1,108.75,7,30.35,146.1,1
1063,6.07,1,108.75,34,26.45,169.2,1
828,3.65,1,82.5,0,6,88.5,0
1304,4.51,1,112.5,28,26.375,166.875,1
1051,6.08,1,112.5,0,30.375,142.875,1
278,1.13,1,37.5,13,5.75,56.25,0
429,2.25,1,52.5,0,6,58.5,0
11,0.08,1,18.75,0,6,24.75,0
273,2.16,1,48.75,0,6,54.75,0
1289,8.21,1,142.5,0,6,148.5,0
394,1.01,1,45,13,5.75,63.75,0
1096,8.84,1,146.25,0,6,152.25,0
434,1.75,1,48.75,0,6,54.75,0
593,2.99,1,67.5,15,5.7,88.2,0
1045,4.02,0,97.5,0,34.125,131.625,1
1062,6.02,1,108.75,23,5.94999999999999,137.7,0
621,6.28,1,101.25,0,9.75,111,0
375,1.88,1,45,12,13.2,70.2,0
624,4.51,1,78.75,0,26.625,105.375,1
872,4.81,1,90,0,6,96,0
334,1.77,1,45,0,30.375,75.375,1
396,1.75,2,48.75,0,13.5,62.25,0
224,1,1,33.75,0,6,39.75,0
998,8.47,1,135,32,26.95,193.95,1
615,10.75,1,146.25,41,58.9,246.15,0
1208,5.31,1,112.5,28,26.375,166.875,1
545,3.22,1,67.5,8,5.5,81,0
402,1.42,5,45,10,6.2,61.2,0
493,2.88,1,60,15,13.2,88.2,0
803,5.63,1,97.5,0,9.75,107.25,0
57995,11.36,1,168.75,0,26.625,195.375,1
727,4.72,1,86.25,24,34.2,144.45,1
230,0.8,1,33.75,8,5.95,47.7,0
597,2.35,1,63.75,15,33.825,112.575,1
954,9.59,1,146.25,47,9.55000000000001,202.8,0
648,2.57,1,67.5,15,10.125,92.625,0
223,1.71,1,41.25,0,9.75,51,0
251,1.16,1,37.5,13,6.05,56.55,0
1347,5.21,1,116.25,0,13.5,129.75,0
1158,6.44,1,116.25,0,34.125,150.375,1
820,3.51,1,78.75,21,6.15000000000001,105.9,0
1227,2.45,1,97.5,0,6,103.5,0
901,15.18,1,375,75,2.69999999999999,452.7,0
877,2.7,2,78.75,0,6,84.75,0
754,2.85,1,71.25,32,33.775,137.025,1
678,2.24,1,67.5,15,5.7,88.2,0
391,2.74,1,52.5,0,6,58.5,0
81,0.9,1,26.25,0,6,32.25,0
870,2.77,1,78.75,18,13.95,110.7,0
476,2.75,1,60,11,10,81,0
310,1.56,1,41.25,10,9.95,61.2,0
590,4.28,2,78.75,0,30.375,109.125,1
430,1.75,1,48.75,0,6,54.75,0
1417,11.27,1,172.5,34,30.125,236.625,1
1412,15.39,1,228.75,0,9.75,238.5,0
503,2.53,1,60,0,13.5,73.5,0
459,2.09,1,56.25,0,6.00000000000001,62.25,0
937,4.35,1,93.75,24,26.7,144.45,1
843,5.55,1,101.25,17,13.375,131.625,0
435,3.04,1,60,15,13.5,88.5,0
640,4.67,1,82.5,0,30.375,112.875,1
600,4.52,1,78.75,18,9.45,106.2,0
1119,6.05,2,116.25,24,6.44999999999999,146.7,0
199,1.21,1,33.75,9,9.45,52.2,0
484,2.45,1,56.25,0,6.00000000000001,62.25,0
522,2.32,1,56.25,0,9.75,66,0
3867,42.87,1,483,0,51.3749999999999,534.375,0
1104,5.15,1,105,0,9.75,114.75,0
434,3.65,2,63.75,16,26.9,106.65,1
596,4.54,1,82.5,18,10.2,110.7,0
702,2.83,1,71.25,0,9.75,81,0
1068,3.83,1,97.5,21,5.7,124.2,0
944,2.4,1,82.5,27,5.55,115.05,0
518,3.14,1,63.75,14,5.95,83.7,0
400,4.43,1,67.5,0,30.375,97.875,1
2393,9.06,1,198.75,0,6,204.75,0
498,3.01,1,60,0,6,66,0
595,6.15,1,97.5,0,9.75,107.25,0
656,3.67,1,75,0,6,81,0
226,1.77,1,37.5,14,34.375,85.875,1
600,3.54,1,71.25,16,9.95,97.2,0
286,1.38,1,37.5,0,6,43.5,0
1473,10.99,1,176.25,22,27.125,225.375,1
916,2.37,1,82.5,0,6,88.5,0
646,3.77,1,75,20,6.25,101.25,0
458,1.77,1,48.75,0,13.5,62.25,0
1564,12.71,1,195,38,33.625,266.625,1
1113,5.95,1,120,29,26.875,175.875,1
713,3.96,1,78.75,17,5.95,101.7,0
839,3.27,1,82.5,23,34.45,139.95,1
920,5.28,1,101.25,15,30.375,146.625,1
3503,26.65,1,401.25,0,6,407.25,0
374,1.92,2,48.75,16,6.425,71.175,0
704,6.23,1,127.5,0,2.25,129.75,0
962,3.67,1,90,0,26.625,116.625,1
356,2.72,1,75,15,2.7,92.7,0
322,1.26,1,41.25,15,34.2,90.45,1
595,4.68,1,78.75,22,30.2,130.95,1
293,2.57,1,75,0,2.25,77.25,0
947,2.98,1,86.25,24,34.2,144.45,1
562,2.98,1,67.5,15,10.2,92.7,0
719,3.64,2,75,20,26.95,121.95,1
477,1.8,1,52.5,0,6,58.5,0
5,0.03,1,18.75,0,6,24.75,0
3,1.35,1,75,15,2.7,92.7,0
2,0.11,1,105,0,2.25,107.25,0
374,1.77,1,45,0,9.75,54.75,0
365,1.82,1,45,30,13.5,88.5,0
299,1,1,37.5,10,13.7,61.2,0
359,1.61,1,45,9,13.275,67.275,0
897,3.27,1,78.75,20,13.75,112.5,0
879,10.62,1,153.75,49,9.80000000000001,212.55,0
243,1.01,1,37.5,0,6,43.5,0
1233,9.21,1,142.5,0,30.375,172.875,1
1465,6.53,1,131.25,0,6,137.25,0
681,2.59,1,71.25,0,6,77.25,0
410,2.01,1,52.5,8,9.25,69.75,0
915,4.06,1,90,0,13.5,103.5,0
563,2.33,1,60,16,6.5,82.5,0
894,1.79,1,78.75,0,9.75,88.5,0
1259,7.27,1,123.75,0,26.625,150.375,1
705,2.41,1,67.5,15,5.625,88.125,0
2245,5.34,1,172.5,36,5.69999999999999,214.2,0
600,1.56,1,45,0,6,51,0
1579,7.07,1,142.5,42,26.925,211.425,1
985,4.35,1,93.75,0,9.75,103.5,0
817,2.56,1,78.75,8,26.125,112.875,1
799,3.06,1,78.75,17,5.875,101.625,0
928,2.86,2,82.5,22,6.125,110.625,0
159,0.95,1,33.75,0,6,39.75,0
1176,4.18,1,101.25,32,26.5,159.75,1
835,3.35,1,75,16,6.2,97.2,0
947,9.11,1,138.75,38,26.125,202.875,1
913,8.69,1,71.25,0,13.5,84.75,0
1331,3.78,1,112.5,0,13.5,126,0
781,6.47,1,108.75,23,5.94999999999999,137.7,0
893,7.4,1,116.25,32,13.9,162.15,0
3083,12.63,1,266.25,75,26.625,367.875,1
667,4.35,1,78.75,0,6,84.75,0
951,8.67,1,135,15,26.625,176.625,1
514,2.41,1,60,8,33.625,101.625,1
304,0.97,1,41.25,14,13,68.25,0
543,2.09,0,56.25,0,34.125,90.375,1
893,1.83,1,75,0,26.625,101.625,1
899,6.29,1,112.5,28,26.45,166.95,1
1566,12.2,1,191.25,45,34.2,270.45,1
551,2.25,1,56.25,0,6.00000000000001,62.25,0
2129,8.9,1,191.25,0,6,197.25,0
1035,4.49,1,97.5,0,9.75,107.25,0
2049,7.53,1,176.25,0,13.5,189.75,0
240,0.87,1,33.75,0,6,39.75,0
892,3.4,1,75,0,13.5,88.5,0
186,1.13,1,33.75,0,6,39.75,0
2063,7.39,1,165,0,6,171,0
1016,8.84,2,142.5,0,9.75,152.25,0
496,1.82,1,52.5,0,26.625,79.125,1
504,2.32,1,56.25,8,9.25,73.5,0
282,1.66,5,41.25,0,6,47.25,0
939,4.35,1,90,21,13.2,124.2,0
673,2.74,1,67.5,0,6,73.5,0
1528,7.92,1,146.25,35,26.2,207.45,1
872,2.32,1,78.75,17,5.95,101.7,0
729,4.1,1,82.5,22,26.45,130.95,1
2252,8.45,5,187.5,0,26.625,214.125,1
885,3.25,1,82.5,0,6,88.5,0
876,3.77,1,86.25,0,9.75,96,0
510,1.77,1,56.25,0,13.5,69.75,0
401,2.19,1,48.75,16,30.2,94.95,1
1481,5.57,1,131.25,32,26.2,189.45,1
588,3.17,1,63.75,14,5.95,83.7,0
1440,8.27,2,150,32,5.5,187.5,0
1344,5.6,1,123.75,38,26.2,187.95,1
602,2.12,1,60,0,6,66,0
2093,15.05,1,247.5,225,26.625,499.125,1
856,7.93,2,123.75,39,29.925,192.675,1
392,1.9,1,48.75,0,9.75,58.5,0
157,0.58,1,30,0,6,36,0
174,1.13,1,33.75,2,9.25,45,0
1539,5.84,1,131.25,0,26.625,157.875,1
96,0.82,1,26.25,8,33.625,67.875,1
387,3.03,6,56.25,12,6.45,74.7,0
1413,4.1,1,116.25,21,27.075,164.325,1
653,2.17,1,63.75,15,13.95,92.7,0
421,2.72,5,56.25,14,13.45,83.7,0
1783,6.1,1,150,31,6.19999999999999,187.2,0
454,2.74,1,60,0,9.75,69.75,0
1505,9.17,2,157.5,37,26.375,220.875,1
155,0.77,1,30,0,6,36,0
1035,5.62,1,112.5,0,6,118.5,0
1451,5.09,2,120,0,13.5,133.5,0
725,2.74,1,71.25,23,5.875,100.125,0
352,1.61,3,45,0,26.625,71.625,1
2268,15.45,2,251.25,56,26.125,333.375,1
309,1.45,1,41.25,13,9.5,63.75,0
185,1.29,1,33.75,0,6,39.75,0
521,2.14,1,56.25,12,6.45,74.7,0
346,1.72,1,45,0,6,51,0
1653,3.33,1,131.25,0,13.5,144.75,0
703,4.28,1,78.75,15,34.125,127.875,1
963,5.41,2,105,0,9.75,114.75,0
415,1.56,1,48.75,1,5.75,55.5,0
1033,4.35,1,97.5,30,34.125,161.625,1
1437,6.49,1,138.75,41,26.95,206.7,1
1144,10.83,1,161.25,0,9.75,171,0
526,2.08,1,56.25,0,6.00000000000001,62.25,0
511,2.25,1,60,20,5.8,85.8,0
232,1.05,1,37.5,0,6,43.5,0
208,1.53,1,41.25,0,6,47.25,0
2897,33.04,1,390,75,55.125,520.125,0
4281,17.7,1,348.75,0,6,354.75,0
1004,4.84,2,101.25,0,6,107.25,0
3874,32.36,1,483.75,0,75.75,559.5,1
761,4.75,1,86.25,23,30.7,139.95,1
450,1.64,1,52.5,0,13.5,66,0
950,4.07,1,93.75,32,13.675,139.425,0
345,1.13,1,45,16,9.875,70.875,0
510,2.72,1,60,0,26.625,86.625,1
1572,8.59,1,161.25,22,27.125,210.375,1
380,1.85,1,45,0,9.75,54.75,0
491,1.3,1,52.5,18,5.55000000000001,76.05,0
240,0.8,2,33.75,0,6,39.75,0
463,2.06,1,52.5,0,9.75000000000001,62.25,0
434,2.11,1,52.5,15,5.625,73.125,0
1402,8.3,5,146.25,0,6,152.25,0
438,1.66,2,48.75,16,6.425,71.175,0
419,1.9,1,52.5,0,6,58.5,0
670,2.9,1,71.25,0,9.75,81,0
225,1.13,1,37.5,0,13.5,51,0
30,0.16,1,18.75,0,6,24.75,0
699,7.35,1,120,37,26.3,183.3,1
182,0.85,1,33.75,0,9.75,43.5,0
1553,7.69,1,146.25,36,34.2,216.45,1
1494,3.57,1,120,0,26.625,146.625,1
223,0.93,1,33.75,0,6,39.75,0
249,0.9,1,33.75,10,29.975,73.725,1
590,2.41,1,63.75,0,9.75,73.5,0
288,1.24,1,41.25,0,6,47.25,0
389,0.9,1,37.5,0,6,43.5,0
276,2.16,1,45,12,13.2,70.2,0
86,0.85,1,26.25,0,13.5,39.75,0
199,0.43,1,30,8,9.7,47.7,0
253,0.93,1,37.5,9,6,52.5,0
599,3.38,1,71.25,20,26.125,117.375,1
1576,7.81,1,150,0,6,156,0
538,1.51,1,56.25,0,6.00000000000001,62.25,0
192,0.64,2,30,0,6,36,0
2101,19.17,2,277.5,0,34.125,311.625,1
1182,7.74,1,131.25,32,30.7,193.95,1
637,3.44,1,71.25,29,27.025,127.275,1
